ID;Doi;Author;Title;Year;Type_of_study;Vegetation_type;Community_type;Greenhouse_community;Country;Continent;GC_factor;C_specifics_detailed;GC_specifics_simple;Modulator;Modulator_specifics;Response_variable;Response_variable_specifics;Direction_interaction;direction_GC_factor;Notes
1;10.1111/j.1365-2486.2008.01760.x;Antoninka et al.;Linking above- and belowground responses to global change at community and ecosystem scales;2009;mesocosm;grassland;greenhouse;Cedar Creek grassland;USA;North america;CO2;elevated;increase;Mycorrhyza;arbuscular Mycorrhyza;Productivity;above ground biomass;neutral;increase;interaction CO2 and N
1;10.1111/j.1365-2486.2008.01760.x;Antoninka et al.;Linking above- and belowground responses to global change at community and ecosystem scales;2009;mesocosm;grassland;greenhouse;Cedar Creek grassland;USA;North america;Nutrients;NO3NH4;increase;Mycorrhyza;arbuscular Mycorrhyza;Productivity;above ground biomass;neutral;increase;
1;10.1111/j.1365-2486.2008.01760.x;Antoninka et al.;Linking above- and belowground responses to global change at community and ecosystem scales;2009;mesocosm;grassland;greenhouse;Cedar Creek grassland;USA;North america;CO2;elevated;increase;Mycorrhyza;arbuscular Mycorrhyza;Composition;plant community;neutral;altered;
1;10.1111/j.1365-2486.2008.01760.x;Antoninka et al.;Linking above- and belowground responses to global change at community and ecosystem scales;2009;mesocosm;grassland;greenhouse;Cedar Creek grassland;USA;North america;Nutrients;NO3NH4;increase;Mycorrhyza;arbuscular Mycorrhyza;Composition;plant community;neutral;Neutral;
2;10.1111/1365-2745.13521;Jia et al.;Symbiotic soil fungi enhance resistance and resilience of an experimental grassland to drought and nitrogen deposition;2020;mesocosm;grassland;greenhouse;calcareous grassland;Switzerland;Europe;Precipitation;drought;Decrease;Mycorrhyza;arbuscular Mycorrhyza;Productivity;above ground biomass;mitigation;decrease;during drought phase
2;10.1111/1365-2745.13521;Jia et al.;Symbiotic soil fungi enhance resistance and resilience of an experimental grassland to drought and nitrogen deposition;2020;mesocosm;grassland;greenhouse;calcareous grassland;Switzerland;Europe;Nutrients;elevated Nitrogen deposition;increase;Mycorrhyza;arbuscular Mycorrhyza;Productivity;above ground biomass;amplification;increase;I think this effect is only in the recovery phase
2;10.1111/1365-2745.13521;Jia et al.;Symbiotic soil fungi enhance resistance and resilience of an experimental grassland to drought and nitrogen deposition;2020;mesocosm;grassland;greenhouse;calcareous grassland;Switzerland;Europe;Precipitation;drought;Decrease;Mycorrhyza;arbuscular Mycorrhyza;Diversity;Shannon-Wiener diversity;neutral;Neutral;decrease is actually a drought
2;10.1111/1365-2745.13521;Jia et al.;Symbiotic soil fungi enhance resistance and resilience of an experimental grassland to drought and nitrogen deposition;2020;mesocosm;grassland;greenhouse;calcareous grassland;Switzerland;Europe;Nutrients;elevated Nitrogen deposition;increase;Mycorrhyza;arbuscular Mycorrhyza;Diversity;Shannon-Wiener diversity;neutral;Neutral;decrease is actually drought
3;10.1046/j.1461-0248.2003.00460.x;Johnson et al. ;Interactions among mycorrhizae, atmospheric CO2 and soil N impact plant community composition;2003;mesocosm;grassland;greenhouse;Cedar Creek grassland;USA;North america;Nutrients;NH4NO3;increase;Mycorrhyza;arbuscular Mycorrhyza;Productivity;Biomass;neutral;increase;
3;10.1046/j.1461-0248.2003.00460.x;Johnson et al. ;Interactions among mycorrhizae, atmospheric CO2 and soil N impact plant community composition;2003;mesocosm;grassland;greenhouse;Cedar Creek grassland;USA;North america;CO2;elevated;increase;Mycorrhyza;arbuscular Mycorrhyza;Productivity;Biomass;neutral;Neutral;
3;10.1046/j.1461-0248.2003.00460.x;Johnson et al. ;Interactions among mycorrhizae, atmospheric CO2 and soil N impact plant community composition;2003;mesocosm;grassland;greenhouse;Cedar Creek grassland;USA;North america;Nutrients;NH4NO3;increase;Mycorrhyza;arbuscular Mycorrhyza;Diversity;evenness;neutral;Neutral;
3;10.1046/j.1461-0248.2003.00460.x;Johnson et al. ;Interactions among mycorrhizae, atmospheric CO2 and soil N impact plant community composition;2003;mesocosm;grassland;greenhouse;Cedar Creek grassland;USA;North america;CO2;elevated;increase;Mycorrhyza;arbuscular Mycorrhyza;Diversity;evenness;neutral;Neutral;
3;10.1046/j.1461-0248.2003.00460.x;Johnson et al. ;Interactions among mycorrhizae, atmospheric CO2 and soil N impact plant community composition;2003;mesocosm;grassland;greenhouse;Cedar Creek grassland;USA;North america;Nutrients;NH4NO3;increase;Mycorrhyza;arbuscular Mycorrhyza;Diversity;species richness;neutral;decrease;also looks at individual biomass for each species
3;10.1046/j.1461-0248.2003.00460.x;Johnson et al. ;Interactions among mycorrhizae, atmospheric CO2 and soil N impact plant community composition;2003;mesocosm;grassland;greenhouse;Cedar Creek grassland;USA;North america;CO2;elevated;increase;Mycorrhyza;arbuscular Mycorrhyza;Diversity;species richness;amplification;increase;also looks at individual biomass for each species, talk with Anu how to call this
4;10.1111/gcb.13785;Martinez-Garcia et al.;Symbiotic soil fungi enhance ecosystem resilience to climate change;2017;mesocosm;grassland;greenhouse;model grassland;Netherlands;Europe;Precipitation;increase;increase;Mycorrhyza;arbuscular Mycorrhyza;Productivity;above ground biomass;amplification;increase;not sure looks at leaching, also looks at community but does not male the connection, normally no interaction between precipitation x am
4;10.1111/gcb.13785;Martinez-Garcia et al.;Symbiotic soil fungi enhance ecosystem resilience to climate change;2017;mesocosm;grassland;greenhouse;model grassland;Netherlands;Europe;Precipitation;increase;increase;Mycorrhyza;arbuscular Mycorrhyza;Productivity;below ground biomass;mitigation;decrease;not sure looks at leaching, also looks at community but does not male the connection, normally no interaction between precipitation x am
5;10.1111/j.1365-2486.2008.01691.x;van der Heijden et al.;Mycorrhizal fungi reduce the negative effects of nitrogen enrichment on plant community structure in dune grassland;2008;mesocosm;grassland;greenhouse ;dune grassland;Netherlands;Europe;Nutrients;;increase;Mycorrhyza;arbuscular Mycorrhyza;Productivity;above ground biomass;neutral;increase;difficult to put a price tag on, maybe functional group evenness?
6;10.1111/jvs.13082;Yang et al. ;Inter-annual precipitation variability alters the effects of soil resource enrichment and mycorrhizal suppression on plant communities in desert steppe;2021;experimental;grassland;desert steppe;;China;Asia;Nutrients;;increase;Mycorrhyza;arbuscular Mycorrhyza;Productivity;above ground net primary productivity;neutral;increase;
6;10.1111/jvs.13082;Yang et al. ;Inter-annual precipitation variability alters the effects of soil resource enrichment and mycorrhizal suppression on plant communities in desert steppe;2021;experimental;grassland;desert steppe;;China;Asia;Precipitation;;increase;Mycorrhyza;arbuscular Mycorrhyza;Productivity;above ground net primary productivity;neutral;increase;
6;10.1111/jvs.13082;Yang et al. ;Inter-annual precipitation variability alters the effects of soil resource enrichment and mycorrhizal suppression on plant communities in desert steppe;2021;experimental;grassland;desert steppe;;China;Asia;Nutrients;;increase;Mycorrhyza;arbuscular Mycorrhyza;Diversity;species eveness;mitigation;decrease;
6;10.1111/jvs.13082;Yang et al. ;Inter-annual precipitation variability alters the effects of soil resource enrichment and mycorrhizal suppression on plant communities in desert steppe;2021;experimental;grassland;desert steppe;;China;Asia;Precipitation;;increase;Mycorrhyza;arbuscular Mycorrhyza;Diversity;species eveness;neutral;Neutral;
6;10.1111/jvs.13082;Yang et al. ;Inter-annual precipitation variability alters the effects of soil resource enrichment and mycorrhizal suppression on plant communities in desert steppe;2021;experimental;grassland;desert steppe;;China;Asia;Nutrients;;increase;Mycorrhyza;arbuscular Mycorrhyza;Diversity;shannon diversity;mitigation;decrease;
6;10.1111/jvs.13082;Yang et al. ;Inter-annual precipitation variability alters the effects of soil resource enrichment and mycorrhizal suppression on plant communities in desert steppe;2021;experimental;grassland;desert steppe;;China;Asia;Precipitation;;increase;Mycorrhyza;arbuscular Mycorrhyza;Diversity;shannon diversity;mitigation;increase;
6;10.1111/jvs.13082;Yang et al. ;Inter-annual precipitation variability alters the effects of soil resource enrichment and mycorrhizal suppression on plant communities in desert steppe;2021;experimental;grassland;desert steppe;;China;Asia;Nutrients;;increase;Mycorrhyza;arbuscular Mycorrhyza;Diversity;richness;neutral;increase;
6;10.1111/jvs.13082;Yang et al. ;Inter-annual precipitation variability alters the effects of soil resource enrichment and mycorrhizal suppression on plant communities in desert steppe;2021;experimental;grassland;desert steppe;;China;Asia;Precipitation;;increase;Mycorrhyza;arbuscular Mycorrhyza;Diversity;richness;neutral;Neutral;
7;10.1002/ldr.3491;Kang et al. ;Arbuscular mycorrhizal fungi alleviate the negative effect of nitrogen deposition on ecosystem functions in meadow grassland;2019;experimental;grassland;meadow steppe;;China;Asia;Nutrients;;increase;Mycorrhyza;arbuscular Mycorrhyza;Productivity;above ground biomass;mitigation;decrease;also looks between years tried to make sure that same repsonse every year (in one year different)
7;10.1002/ldr.3491;Kang et al. ;Arbuscular mycorrhizal fungi alleviate the negative effect of nitrogen deposition on ecosystem functions in meadow grassland;2019;experimental;grassland;meadow steppe;;China;Asia;Nutrients;;increase;Mycorrhyza;arbuscular Mycorrhyza;Diversity;species richness;mitigation;decrease;also looks between years tried to make sure that same repsonse every year, in one year different 
7;10.1002/ldr.3491;Kang et al. ;Arbuscular mycorrhizal fungi alleviate the negative effect of nitrogen deposition on ecosystem functions in meadow grassland;2019;experimental;grassland;meadow steppe;;China;Asia;Nutrients;;increase;Mycorrhyza;arbuscular Mycorrhyza;Diversity;Shannon-Wiener diversity;neutral;decrease;dont specify what measure of diversity they use
8;10.1007/s11104-022-05490-6;Jia et al.;Can mycorrhizal fungi alleviate plant community instability caused by increased precipitation in arid ecosystems?;2022;experimental;grassland;;;China;Asia;Precipitation;;increase;Mycorrhyza;arbuscular Mycorrhyza;Productivity;above ground biomass;mitigation;increase;
8;10.1007/s11104-022-05490-6;Jia et al.;Can mycorrhizal fungi alleviate plant community instability caused by increased precipitation in arid ecosystems?;2022;experimental;grassland;;;China;Asia;Precipitation;;increase;Mycorrhyza;arbuscular Mycorrhyza;Diversity;Shannon-Wiener diversity;neutral;Neutral;
8;10.1007/s11104-022-05490-6;Jia et al.;Can mycorrhizal fungi alleviate plant community instability caused by increased precipitation in arid ecosystems?;2022;experimental;grassland;;;China;Asia;Precipitation;;increase;Mycorrhyza;arbuscular Mycorrhyza;Diversity;evenness;neutral;Neutral;
8;10.1007/s11104-022-05490-6;Jia et al.;Can mycorrhizal fungi alleviate plant community instability caused by increased precipitation in arid ecosystems?;2022;experimental;grassland;;;China;Asia;Precipitation;;increase;Mycorrhyza;arbuscular Mycorrhyza;Diversity;Simpsons dominance index;neutral;Neutral;
9;10.1007/s13199-023-00906-y;Duarte et al.;Plant response to arbuscular mycorrhizal fungi at CO2 and temperature levels of the past and present;2023;mesocosm;greenhouse;pot;;Canada;North america;Temperature;;Decrease;Mycorrhyza;arbuscular Mycorrhyza;Productivity;above ground biomass;mitigation;decrease;can not clearly say if plants are grown together in pots or each in a single plot, also decrease both cliamte treatments
9;10.1007/s13199-023-00906-y;Duarte et al.;Plant response to arbuscular mycorrhizal fungi at CO2 and temperature levels of the past and present;2023;mesocosm;greenhouse;pot;;Canada;North america;CO2;;Decrease;Mycorrhyza;arbuscular Mycorrhyza;Productivity;above ground biomass;mitigation;decrease;can not clearly say if plants are grown together in pots or each in a single plot, also decrease both cliamte treatments
10;10.1139/b05-084;Fraser et al. ;Anu & Lotte;;;;;;;;;;;;;;;;;
